Issue key,Issue id,Status,Created,Updated,Assignee,Creator,Description,Summary
DEMO-1000,11905,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-999,11904,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-998,11903,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-997,11902,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-996,11900,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-995,11901,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-994,11899,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-993,11898,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-992,11897,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-991,11896,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-990,11895,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-989,11894,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-988,11893,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-987,11892,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-986,11891,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-985,11890,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-984,11889,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-983,11888,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-982,11887,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-981,11886,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-980,11885,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-979,11884,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-978,11883,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-977,11882,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-976,11881,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-975,11880,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-974,11879,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-973,11878,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-972,11877,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-971,11876,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-970,11875,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-969,11874,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-968,11872,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-967,11873,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-966,11871,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-965,11869,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-964,11867,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-963,11868,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-962,11866,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-961,11865,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-960,11870,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-959,11864,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-958,11863,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-957,11862,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-956,11861,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-955,11860,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-954,11859,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-953,11858,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-952,11857,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-951,11856,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-950,11855,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-949,11854,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-948,11853,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-947,11852,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-946,11851,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-945,11850,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-944,11849,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-943,11848,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-942,11847,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-941,11846,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-940,11845,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-939,11844,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-938,11843,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-937,11842,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-936,11840,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-935,11841,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-934,11839,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-933,11838,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-932,11837,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-931,11836,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-930,11835,Backlog,07/Jun/18 3:13 PM,07/Jun/18 3:13 PM,,jiraadmin,Descript,MikeDemo2
DEMO-929,11834,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-928,11833,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-927,11832,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-926,11831,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-925,11830,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-924,11829,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-923,11827,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-922,11828,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-921,11826,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-920,11824,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-919,11825,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-918,11823,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-917,11822,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-916,11821,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-915,11820,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-914,11819,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-913,11818,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-912,11817,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-911,11816,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-910,11815,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-909,11814,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-908,11813,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-907,11812,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-906,11811,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-905,11810,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-904,11809,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-903,11807,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-902,11806,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-901,11805,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-900,11808,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-899,11804,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-898,11803,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-897,11802,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-896,11801,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-895,11800,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-894,11799,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-893,11798,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-892,11797,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-891,11795,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-890,11794,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-889,11793,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-888,11796,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-887,11792,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-886,11791,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-885,11790,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-884,11789,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-883,11788,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-882,11787,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-881,11786,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-880,11785,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-879,11784,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-878,11783,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-877,11782,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-876,11781,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-875,11780,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-874,11779,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-873,11778,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-872,11777,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-871,11776,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-870,11775,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-869,11774,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-868,11773,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-867,11772,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-866,11771,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-865,11770,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-864,11769,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-863,11767,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-862,11768,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-861,11766,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-860,11765,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-859,11764,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-858,11763,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-857,11762,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-856,11761,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-855,11760,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-854,11759,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-853,11758,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-852,11755,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-851,11757,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-850,11756,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-849,11754,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-848,11752,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-847,11753,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-846,11751,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-845,11750,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-844,11749,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-843,11748,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-842,11747,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-841,11746,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-840,11745,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-839,11744,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-838,11743,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-837,11742,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-836,11741,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-835,11740,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-834,11739,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-833,11738,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-832,11737,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-831,11735,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-830,11736,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-829,11734,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-828,11733,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-827,11732,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-826,11731,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-825,11730,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-824,11729,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-823,11728,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-822,11727,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-821,11726,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-820,11725,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-819,11724,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-818,11723,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-817,11722,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-816,11721,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-815,11718,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-814,11719,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-813,11717,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-812,11720,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-811,11716,Backlog,07/Jun/18 3:12 PM,07/Jun/18 3:12 PM,,jiraadmin,Descript,MikeDemo2
DEMO-810,11715,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-809,11713,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-808,11714,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-807,11712,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-806,11711,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-805,11710,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-804,11708,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-803,11707,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-802,11709,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-801,11706,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-800,11705,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-799,11704,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-798,11703,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
DEMO-797,11702,Backlog,07/Jun/18 3:11 PM,07/Jun/18 3:11 PM,,jiraadmin,Descript,MikeDemo2
